INFO 2024-11-18 14:13:48,718 autoreload Watching for file changes with StatReloader
DEBUG 2024-11-18 14:13:48,719 autoreload Waiting for apps ready_event.
DEBUG 2024-11-18 14:13:48,846 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-11-18 14:13:48,878 autoreload Watching dir C:\Users\ADMIN\AppData\Local\Programs\Python\Python313\Lib\site-packages\django_filters\templates with glob **/*.
DEBUG 2024-11-18 14:13:48,879 autoreload Watching dir C:\Users\ADMIN\AppData\Local\Programs\Python\Python313\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-11-18 14:13:48,880 autoreload Watching dir D:\PZC_Backend\PZC\PZC_MVP\locale with glob **/*.mo.
DEBUG 2024-11-18 14:13:48,880 autoreload Watching dir C:\Users\ADMIN\AppData\Local\Programs\Python\Python313\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-11-18 14:13:48,881 autoreload Watching dir C:\Users\ADMIN\AppData\Local\Programs\Python\Python313\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-11-18 14:13:48,882 autoreload Watching dir C:\Users\ADMIN\AppData\Local\Programs\Python\Python313\Lib\site-packages\django_filters\locale with glob **/*.mo.
DEBUG 2024-11-18 14:13:48,882 autoreload Watching dir C:\Users\ADMIN\AppData\Local\Programs\Python\Python313\Lib\site-packages\rest_framework_simplejwt\token_blacklist\locale with glob **/*.mo.
DEBUG 2024-11-18 14:13:48,883 autoreload Watching dir D:\PZC_Backend\PZC\PZC_MVP\users_pzc\locale with glob **/*.mo.
DEBUG 2024-11-18 14:13:48,986 utils (0.001) 
                SELECT VERSION(),
                       @@sql_mode,
                       @@default_storage_engine,
                       @@sql_auto_is_null,
                       @@lower_case_table_names,
                       CONVERT_TZ('2001-01-01 01:00:00', 'UTC', 'UTC') IS NOT NULL
            ; args=None; alias=default
DEBUG 2024-11-18 14:13:48,988 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2024-11-18 14:13:48,990 utils (0.001) 
            SELECT
                table_name,
                table_type,
                table_comment
            FROM information_schema.tables
            WHERE table_schema = DATABASE()
            ; args=None; alias=default
DEBUG 2024-11-18 14:13:48,995 utils (0.001) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=(); alias=default
DEBUG 2024-11-18 14:13:49,099 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python313\Lib\asyncio\format_helpers.py first seen with mtime 1728277008.0
